MLA_horizon_id,IPL17O_mean_dp17Ocarb,IPL17O_sd_dp17Ocarb,IPL17O_se_dp17Ocarb,IPL17O_n_dp17Ocarb,IPL17O_mean_dp18Ocarb,IPL17O_sd_dp18Ocarb,IPL17O_se_dp18Ocarb,IPL17O_n_dp18Ocarb,IPL17O_mean_Dp17Ocarb,IPL17O_sd_Dp17Ocarb,IPL17O_se_Dp17Ocarb,IPL17O_n_Dp17Ocarb,IPL17O_n_analyses,strat_height_m,IPL17O_sd_Dp17Ocarb_adj,IPL17O_se_Dp17Ocarb_adj,IPL17O_ci95_Dp17Ocarb_adj,IPL17O_mean_d17Ocarb,IPL17O_mean_d18Ocarb,IPLD47_n_T47,IPLD47_mean_T47_C,IPLD47_sd_T47_C,IPLD47_se_T47_C,IPLD47_min_T47_C,IPLD47_max_T47_C,IPLD47_range_T47_C,IPL_NuDog_d13Ccarb_VPDB,IPL_NuDog_d18Ocarb_VPDB,IPL_NuDog_d18Ocarb_VSMOW,IPLD47_sessions,IPLD47_IPLnums,IPLD47_sample_type,CU_sample_id,CU_mean_d13Ccarb_vpdb,CU_mean_d18Ocarb_vpdb,CU_se_d18Ocarb_vpdb,CU_mean_d18Ocarb_vsmow,CU_mean_D47_ICDES,CU_se_D47_ICDES,CU_mean_T47_C,CU_2se_T47_C,CU_mean_d18Ow_vsmow,CU_se_d18Ow_vsmow,Snell_sample_id,Snell_Age_Ma,Snell_sample_type,Snell_mean_d18Ow_vsmow,Snell_mean_d18Ocarb_vsmow,Snell_mean_d13Ccarb_vpdb,Snell_mean_D47,Snell_se_D47,Snell_mean_T47_C,Snell_se_T47_C,Snell_sample_group,Koch_mean_d13Ccarb_vpdb,Koch_se_d13Ccarb_vpdb,Koch_n_d13Ccarb,Koch_mean_d18Ocarb_vpdb,Koch_se_d18Ocarb_vpdb,Koch_n_d18Ocarb_vpdb,Koch_mean_d18Ocarb_vsmow,Koch_se_d18Ocarb_vsmow,Koch_n_d18Ocarb_vsmow,Bowen_mean_d13Ccarb_vpdb,Bowen_se_d13Ccarb_vpdb,Bowen_n_d13Ccarb,Bowen_mean_d18Ocarb_vpdb,Bowen_se_d18Ocarb_vpdb,Bowen_n_d18Ocarb_vpdb,Bowen_mean_d18Ocarb_vsmow,Bowen_se_d18Ocarb_vsmow,Bowen_n_d18Ocarb_vsmow,Age_Ma,T_model_C,T_model_se_C,T_model_lower95_C,T_model_upper95_C,T_measured_C,T_measured_se_C,n_T_obs,T_sources,T_model_anchor_C,has_measured_T47,is_snell,d18Ocarb_vsmow,d18Ocarb_se_vsmow,d18Ocarb_source,d18Ocarb_missing_flag,T_recon_C,T_recon_se_C,T_recon_source,d18Ocarb_se_used_vsmow,d18Ow_mean_vsmow,d18Ow_median_vsmow,d18Ow_sd_vsmow,d18Ow_lower95_vsmow,d18Ow_upper95_vsmow,D17Ocarb_se_used_permeg,d17Ocarb_se_used,d18Ocarb_se_used,D17Orsw_mean_permeg,D17Orsw_median_permeg,D17Orsw_sd_permeg,D17Orsw_lower95_permeg,D17Orsw_upper95_permeg
PK95-SC-246,8.94381,0.2634114181276125,0.18625999999999984,2,17.11684,0.5946485187066408,0.4204800000000013,2,-218,2.8284271247461903,2,2,2,520,12,8.48528137423857,16.631151493507595,8.98392537423054,17.264172527794884,5,41.34,6.56604904032859,2.9364263995543967,30.5,47.9,17.4,-6.9489149964,-9.389666375,21.240005140685,"Session 1, Session 2","4703, 4778, 4780, 4857, 4859",primary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.48,NA,1,-9.4,NA,1,21.22,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.2,48.819683568498334,2.3831509254206567,44.14870775467385,53.49065938232282,41.34,2.9364263995543967,1,IPL,48.81999999999999,TRUE,FALSE,21.22,NA,Koch,NA,41.34,2.9364263995543967,IPL measured T47,0.15,-3.9153348398003143,-3.914640806554246,0.5546847407087143,-5.01160141634549,-2.8498820940777088,12,0.18625999999999984,0.4204800000000013,-17.544477896582883,-14.319471092615554,285.07624342586325,-579.6154896109566,537.4614014045886
PK95-SC-279,9.269765,0.19755856359570903,0.13969499999999968,2,17.67748,0.4625044034384973,0.32704000000000016,2,-214.5,7.7781745930520225,5.499999999999999,2,2,680,12,8.48528137423857,16.631151493507595,9.312862336037233,17.834651415179927,4,48.775,2.9432125305522883,1.471606265276144,46.1,52.7,6.600000000000001,-8.500083120500001,-9.30003212675,21.33241087989089,"Session 1, Session 2","4620, 4709, 4931, 4952",primary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.45,NA,1,-9.96,NA,1,20.64,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.56,49.78416346945105,4.011744909914166,41.921143446019286,57.64718349288282,48.775,1.471606265276144,1,IPL,49.791666666666664,TRUE,FALSE,20.64,NA,Koch,NA,48.775,1.471606265276144,IPL measured T47,0.15,-3.1480324093833776,-3.147279199658044,0.2970810843959235,-3.729621124578866,-2.560422592934827,12,0.13969499999999968,0.32704000000000016,3.5403430788288266,4.591773485255857,217.37507186627772,-423.32267870958,425.784839014536
PK95-SC-118up,10.555286376,0.7903163409948522,0.5588380439999998,2,20.191149895,1.506587411327554,1.0653181749999998,2,-90.50807056,5.161815297366057,3.649954599999994,2,2,1325,12,8.48528137423857,16.631151493507595,10.611189930782585,20.39637004517081,4,36.75,3.1890437438203967,1.5945218719101983,32.9,40.7,7.800000000000004,-8.77155913625,-9.680021705,20.9406720238814,"Session 1, Session 2","4700, 4760, 4837, 4839",primary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.75,0.17785762095938798,3,-9.546666666666669,0.26295331229030844,3,21.066666666666663,0.2716820036570537,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.29375,38.09363550235667,3.1633315770982127,31.89350561124418,44.29376539346917,36.75,1.5945218719101983,1,IPL,38.1,TRUE,FALSE,21.066666666666663,0.2716820036570537,Koch,NA,36.75,1.5945218719101983,IPL measured T47,0.2716820036570537,-4.904098151162172,-4.898794362868557,0.40222252812355647,-5.690589457948054,-4.122108604663365,12,0.5588380439999998,1.0653181749999998,-30.64174090799608,-26.737769264294275,778.8821498329633,-1573.4110332781438,1487.3699081727868
PK95-SC-176,11.658003405,0.1843506220959436,0.13035557500000028,2,22.268926615,0.3487580116063685,0.2466091549999998,2,-84.85714516,0.2063948527761361,0.14594320000000494,2,2,1355,12,8.48528137423857,16.631151493507595,11.7262227694781,22.518729999528865,4,46.35,5.995831885568506,2.997915942784253,40,54.4,14.4,-9.236314963,-8.3722477025,22.288882398538703,"Session 1, Session 2","4615, 4766, 4936, 4946",primary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.67,NA,1,-8.29,NA,1,22.36,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.25625,39.745159279827334,3.1633315770982127,33.54502938871484,45.94528917093983,46.35,2.997915942784253,1,IPL,39.74444444444445,TRUE,FALSE,22.36,NA,Koch,NA,46.35,2.997915942784253,IPL measured T47,0.15,-1.9029886441187804,-1.900831153531669,0.5496877259477136,-2.998468997694525,-0.8394911663015115,12,0.13035557500000028,0.2466091549999998,-31.60665048550752,-29.94348451738793,182.87209576848917,-391.20039622872827,326.3015752358446
PK95-SC-49,11.221545435333333,2.6419436979691886,1.5253269052063465,3,21.309869666666668,4.979247422548948,2.874769839770386,3,-24.784182653333335,17.7602914047424,10.253909023414222,3,3,1380,17.7602914047424,10.253909023414222,20.097661685891875,11.284743147087717,21.53854640779418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.225,37.87068183077248,2.175452273113017,33.606795375470966,42.134568286074,NA,NA,0,NA,NA,FALSE,FALSE,21.309869666666668,2.874769839770386,IPL17O,NA,37.87068183077248,2.175452273113017,modeled/interpolated T,2.874769839770386,-4.407614357834783,-4.407579377646243,2.838012143362934,-9.89741940631038,1.1844266866100268,12,1.5253269052063465,2.874769839770386,37.49354560802275,20.14915392074801,2153.843935804848,-4158.774135232665,4282.077751016103
PK95-SC-50,9.184056953,NA,NA,1,17.68619704,NA,NA,1,-139.1223828,NA,NA,1,1,1425,12,12,23.52,9.226359808828688,17.843523959220732,3,36.13333333333333,2.829016319029166,1.6333333333333333,33,38.5,5.5,-8.796674565666667,-9.286788227333334,21.34606428067752,"Session 1, Session 2","4699, 4746, 4842",primary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.128571428571426,35.476749768724474,2.0086262291584793,31.539842359573857,39.413657177875095,36.13333333333333,1.6333333333333333,1,IPL,35.47402921953095,TRUE,FALSE,21.34606428067752,NA,IPL_NuDog,NA,36.13333333333333,1.6333333333333333,IPL measured T47,0.15,-4.751123433404441,-4.7496679727242395,0.3390198656243264,-5.411517875682341,-4.089385458126137,12,0.15,0.15,-73.1783319312668,-73.85781383809409,167.8762516841948,-400.2434478327651,257.27651544028527
PK95-SC-22,11.89921638,NA,NA,1,22.75672166,NA,NA,1,-116.3326585,NA,NA,1,1,1460,12,12,23.52,11.970293696911716,23.017631240326295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.685,0.125,2,-7.6,0.1599999999999997,2,23.075,0.16499999999999912,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.039633333333335,37.11684625598608,1.682327993172425,33.81948338936812,40.41420912260403,NA,NA,0,NA,NA,FALSE,FALSE,23.075,0.16499999999999912,Koch,NA,37.11684625598608,1.682327993172425,modeled/interpolated T,0.16499999999999912,-2.879540324767994,-2.8743904359952808,0.34712439985102184,-3.5628512711905844,-2.196708942954024,12,0.15,0.15,-39.01474314380508,-39.35176075960133,169.33850184382422,-371.813224074479,287.9488108321622
PB-00-03-08,8.653469209,1.2221351724981036,0.8641800679999999,2,16.596611165,2.322040544208595,1.6419306149999986,2,-109.54148445,3.9022348864620096,2.7592967500000043,2,2,1494.4,12,8.48528137423857,16.631151493507595,8.691018706665554,16.735100003757218,2,24.6,0.989949493661168,0.700000000000001,23.9,25.3,1.400000000000002,-9.1485930005,-7.5430913375,23.1436762783445,Session 2,"4862, 4863",primary,PB-00-03-08,-9.112717832,-7.684135508,0.070237933,22.99827102209264,0.619039024,0.009275489,16.8,4.6,-7,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.8,0.05773502691896288,4,-9.1,0.12247448713915884,4,21.538628,0.12626139828150193,4,55.9529,27.827583523979847,4.466370810552152,19.07349673529763,36.58167031266206,23.938754325259513,0.6696717163002017,2,"CU, IPL",31.368473663975394,TRUE,FALSE,21.538628,0.12626139828150193,Bowen,NA,24.6,0.700000000000001,IPL measured T47,0.12626139828150193,-6.799789533895028,-6.799682793294664,0.18687824814991988,-7.166024015593077,-6.434800949413332,12,0.8641800679999999,1.6419306149999986,3.025884837656297,-15.19338254105218,1204.4486712297357,-2318.471832466128,2392.478010954298
PK95-SC-23,11.25648407,NA,NA,1,21.49733125,NA,NA,1,-94.10682535,NA,NA,1,1,1495,12,12,23.52,11.32007667252144,21.73006359163621,3,34.03333333333333,4.015387071420802,2.318284806585343,30.5,38.4,7.899999999999999,-8.54567521,-8.430584045,22.2287422963286,Session 1,"4702, 4741, 4749",primary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.006666666666668,0.02027587510099413,6,-8.698333333333334,0.06630317572417721,6,21.943333333333335,0.0693140998963734,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.9511,27.49067595936963,4.635351279189256,18.40538745215869,36.57596446658057,34.03333333333333,2.318284806585343,1,IPL,27.10736255286428,TRUE,FALSE,21.943333333333335,0.0693140998963734,Koch,NA,34.03333333333333,2.318284806585343,IPL measured T47,0.0693140998963734,-4.555499373696375,-4.553904235441394,0.4445492949117179,-5.4364401382405845,-3.6874586449825304,12,0.15,0.15,-15.316288542374956,-14.776516172344545,168.1865707437227,-349.1571009072376,315.06825410250934
PB-00-03-14,11.704975739999998,0.06839792982729223,0.04836463999999996,2,22.40176183,0.12867814652734264,0.09098919000000016,2,-93.071422265,0.4558668415809753,0.3223465350000012,2,2,1504.9,12,8.48528137423857,16.631151493507595,11.773747028696269,22.654565516540217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PB-00-03-14,-12.85556148,-8.368606213,0.104848633,22.29263648289404,0.574361129,0.005036208,31.8,3.8,-4.7,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-12.875,0.06291528696058978,4,-8.525,0.17969882210706525,4,22.131407,0.185255109686616,4,55.92432835820895,31.625641739203004,1.88242447231941,27.93608977345696,35.315193704949046,31.799999999999997,1.9,1,CU,31.03901110412738,TRUE,FALSE,22.131407,0.185255109686616,Bowen,NA,31.625641739203004,1.88242447231941,modeled/interpolated T,0.185255109686616,-4.84302175000085,-4.84285675755882,0.40005014451999,-5.6439230662849464,-4.06114358109825,12,0.04836463999999996,0.09098919000000016,-42.50072816486816,-43.02742810048588,66.13488588900121,-169.49792864278658,88.643562595029593
