MLA_horizon_id,IPL17O_mean_dp17Ocarb,IPL17O_sd_dp17Ocarb,IPL17O_se_dp17Ocarb,IPL17O_n_dp17Ocarb,IPL17O_mean_dp18Ocarb,IPL17O_sd_dp18Ocarb,IPL17O_se_dp18Ocarb,IPL17O_n_dp18Ocarb,IPL17O_mean_Dp17Ocarb,IPL17O_sd_Dp17Ocarb,IPL17O_se_Dp17Ocarb,IPL17O_n_Dp17Ocarb,IPL17O_n_analyses,strat_height_m,IPL17O_sd_Dp17Ocarb_adj,IPL17O_se_Dp17Ocarb_adj,IPL17O_ci95_Dp17Ocarb_adj,IPL17O_mean_d17Ocarb,IPL17O_mean_d18Ocarb,IPLD47_n_T47,IPLD47_mean_T47_C,IPLD47_sd_T47_C,IPLD47_se_T47_C,IPLD47_min_T47_C,IPLD47_max_T47_C,IPLD47_range_T47_C,IPL_NuDog_d13Ccarb_VPDB,IPL_NuDog_d18Ocarb_VPDB,IPL_NuDog_d18Ocarb_VSMOW,IPLD47_sessions,IPLD47_IPLnums,IPLD47_sample_type,CU_sample_id,CU_mean_d13Ccarb_vpdb,CU_mean_d18Ocarb_vpdb,CU_se_d18Ocarb_vpdb,CU_mean_d18Ocarb_vsmow,CU_mean_D47_ICDES,CU_se_D47_ICDES,CU_mean_T47_C,CU_2se_T47_C,CU_mean_d18Ow_vsmow,CU_se_d18Ow_vsmow,Snell_sample_id,Snell_Age_Ma,Snell_sample_type,Snell_mean_d18Ow_vsmow,Snell_mean_d18Ocarb_vsmow,Snell_mean_d13Ccarb_vpdb,Snell_mean_D47,Snell_se_D47,Snell_mean_T47_C,Snell_se_T47_C,Snell_sample_group,Koch_mean_d13Ccarb_vpdb,Koch_se_d13Ccarb_vpdb,Koch_n_d13Ccarb,Koch_mean_d18Ocarb_vpdb,Koch_se_d18Ocarb_vpdb,Koch_n_d18Ocarb_vpdb,Koch_mean_d18Ocarb_vsmow,Koch_se_d18Ocarb_vsmow,Koch_n_d18Ocarb_vsmow,Bowen_mean_d13Ccarb_vpdb,Bowen_se_d13Ccarb_vpdb,Bowen_n_d13Ccarb,Bowen_mean_d18Ocarb_vpdb,Bowen_se_d18Ocarb_vpdb,Bowen_n_d18Ocarb_vpdb,Bowen_mean_d18Ocarb_vsmow,Bowen_se_d18Ocarb_vsmow,Bowen_n_d18Ocarb_vsmow,Age_Ma,stage,exclude_nuclear,exclude_moderate,exclude_conservative,exclude_heavy,exclude_heavy_moderate,exclude_all_suspect,exclude_from_temp_model,T_model_C,T_model_se_C,T_model_lower95_C,T_model_upper95_C,T_measured_C,T_measured_se_C,n_T_obs,T_sources,T_model_anchor_C,has_measured_T47
PK95-SC-246,8.94381,0.2634114181276125,0.18625999999999984,2,17.11684,0.5946485187066408,0.4204800000000013,2,-218,2.8284271247461903,2,2,2,520,12,8.48528137423857,16.631151493507595,8.98392537423054,17.264172527794884,5,41.34,6.56604904032859,2.9364263995543967,30.5,47.9,17.4,-6.9489149964,-9.389666375,21.24000514,"Session 1, Session 2","4703, 4778, 4780, 4857, 4859",primary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.48,NA,1,-9.4,NA,1,21.22,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.75347949526814,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,48.81968471489023,2.3831509254206567,44.148708901065746,53.49066052871471,41.34,2.9364263995543967,1,IPL,48.81999999999999,TRUE
PK95-SC-242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,590,NA,NA,NA,NA,NA,2,56.3,3.5355339059327378,2.5,53.8,58.8,5,-4.0974807250000005,-13.636948015000002,16.86139755,"Session 1, Session 2","4764, 4983",primary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.46575078864353,NA,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,48.80639566350515,2.3831509254206567,44.13541984968066,53.47737147732964,56.29999999999999,2.5,1,IPL,48.805,TRUE
PK95-SC-279,9.269765,0.19755856359570903,0.13969499999999968,2,17.67748,0.4625044034384973,0.32704000000000016,2,-214.5,7.7781745930520225,5.499999999999999,2,2,680,12,8.48528137423857,16.631151493507595,9.312862336037233,17.834651415179927,4,48.775,2.9432125305522883,1.471606265276144,46.1,52.7,6.600000000000001,-8.500083120500001,-9.30003212675,21.3324108775,"Session 1, Session 2","4620, 4709, 4931, 4952",primary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.45,NA,1,-9.96,NA,1,20.64,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.09581388012619,NA,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,49.7841919326611,4.011744909914166,41.921171909229336,57.64721195609287,48.775,1.471606265276144,1,IPL,49.791666666666664,TRUE
PK95-SC-187,NA,NA,NA,0,NA,NA,NA,0,0,0,0,2,2,700,12,8.48528137423857,16.631151493507595,NA,NA,4,44.3,12.628011192055014,6.314005596027507,29.9,55.1,25.200000000000003,-7.17391455375,-8.33671938525,22.3255092525,"Session 1, Session 2","4610, 4775, 4932, 4957",primary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.63,NA,1,-8.6,NA,1,22.04,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.01360567823344,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,40.611945926738166,4.011744909914166,32.7489259033064,48.47496595016993,44.300000000000004,6.314005596027507,1,IPL,40.605000000000004,TRUE
PK95-SC-198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,760,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.79,0.00999999999999978,2,-8.19,0.07000000000000027,2,22.465,0.07499999999999928,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.7669810725552,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,30.031215670032342,3.8234753678935727,22.53720394896094,37.52522739110374,NA,NA,0,NA,NA,FALSE
PK95-SC-165,NA,NA,NA,0,NA,NA,NA,0,0,0,0,2,2,820,12,8.48528137423857,16.631151493507595,NA,NA,5,28.74,3.020430432901908,1.3507775538555566,25.8,32.2,6.400000000000002,-7.4893818376,-8.269110284,22.395208826,"Session 1, Session 2","4621, 4710, 4747, 4834, 4836",primary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.04,NA,1,-8.39,NA,1,22.26,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.579088664037045,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,34.19040315790967,3.8199350391994504,26.703330481078748,41.67747583474059,28.74,1.3507775538555566,1,IPL,34.19111111111111,TRUE
PK95-SC-85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,860,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.55,NA,1,-8.34,NA,1,22.31,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.48586280226376,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,34.43398834797592,3.8199350391994504,26.946915671144996,41.92106102480684,NA,NA,0,NA,NA,FALSE
PK95-SC-185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,940,NA,NA,NA,NA,NA,3,29.533333333333335,2.5006665778014736,1.4437605218471812,27,32,5,-9.100783239,-8.374902776333334,22.286145233333333,Session 1,"4611, 4695, 4744",primary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.413333333333334,0.21457969252574768,3,-8.190000000000001,0.16563010998406466,3,22.466666666666665,0.1722723941256336,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.2994110787172,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,29.764643492960353,1.8592511435561403,26.12051125159032,33.40877573433039,29.53333333333334,1.4437605218471812,1,IPL,29.764444444444447,TRUE
PK95-SC-191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.05,NA,1,-9.84,NA,1,20.77,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.1246125878923,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,28.59514258025148,1.8592511435561403,24.951010338881446,32.239274821621514,NA,NA,0,NA,NA,FALSE
PK95-SC-179,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,1,1,1080,12,12,23.52,NA,NA,5,31.02,5.683924700416077,2.5419284018240953,27,40.9,13.9,-7.494459866,-8.2626947892,22.401822688,"Session 1, Session 2","4706, 4769, 4850, 4851, 4852",primary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.945,0.04499999999999993,2,-8.445,0.27500000000000036,2,22.205,0.28499999999999837,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.973120562510715,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,29.717743532458464,2.1220412953708654,25.558542593531566,33.87694447138536,31.02,2.5419284018240953,1,IPL,29.71777777777778,TRUE
